term,pos,notes,is_case_sensitive,translation_af,notes_af,translation_ar,notes_ar,translation_ar_eg,notes_ar_eg,translation_ar_iq,notes_ar_iq,translation_az,notes_az,translation_az_az,notes_az_az,translation_bn,notes_bn,translation_bn_bd,notes_bn_bd,translation_bn_in,notes_bn_in,translation_ca,notes_ca,translation_cmn,notes_cmn,translation_cs,notes_cs,translation_da,notes_da,translation_de,notes_de,translation_el,notes_el,translation_en_gb,notes_en_gb,translation_en_us,notes_en_us,translation_es,notes_es,translation_es_419,notes_es_419,translation_es_ar,notes_es_ar,translation_es_co,notes_es_co,translation_es_es,notes_es_es,translation_es_mx,notes_es_mx,translation_et,notes_et,translation_fa,notes_fa,translation_fi,notes_fi,translation_fr,notes_fr,translation_hi,notes_hi,translation_hi_in,notes_hi_in,translation_hu,notes_hu,translation_id,notes_id,translation_id_id,notes_id_id,translation_it,notes_it,translation_it_it,notes_it_it,translation_ja,notes_ja,translation_ka,notes_ka,translation_kn,notes_kn,translation_ko,notes_ko,translation_ko_kr,notes_ko_kr,translation_ky,notes_ky,translation_lo_la,notes_lo_la,translation_lt,notes_lt,translation_mn,notes_mn,translation_mr,notes_mr,translation_mr_in,notes_mr_in,translation_ms,notes_ms,translation_my,notes_my,translation_nb,notes_nb,translation_ne,notes_ne,translation_nl,notes_nl,translation_pa,notes_pa,translation_pl,notes_pl,translation_pl_pl,notes_pl_pl,translation_ps,notes_ps,translation_pt,notes_pt,translation_pt_br,notes_pt_br,translation_pt_mz,notes_pt_mz,translation_pt_pt,notes_pt_pt,translation_ro,notes_ro,translation_ru,notes_ru,translation_ru_ru,notes_ru_ru,translation_si_lk,notes_si_lk,translation_sq_al,notes_sq_al,translation_sv,notes_sv,translation_te,notes_te,translation_tr,notes_tr,translation_tzm,notes_tzm,translation_uk,notes_uk,translation_uk_ua,notes_uk_ua,translation_ur,notes_ur,translation_vi,notes_vi,translation_zh,notes_zh,translation_zh-hans,notes_zh-hans,translation_zh_cn,notes_zh_cn,translation_zh_hk,notes_zh_hk,translation_zh_sg,notes_zh_sg,translation_zh_tw,notes_zh_tw
2-tuple||two-tuple,noun,A tuple of two elements,false,,,,,,,,,,,,,২-টুপল,,,,২-টুপল,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,krotka dwuelementowa,,,,,,,,tupla de 2 elementos||tupla de dois elementos,,,,2-tuplo||tuplo de 2 elementos,,,,пара||кортеж из 2 элементов,,,,,,,,,,,,,,,,двохелементний кортеж,,2- кортеж двокортежний,,,,,,,,,,二元组,,,,,,,
3-tuple||three-tuple,noun,A tuple of three elements,false,,,,,,,,,,,,,৩-টুপল,,,,৩-টুপল,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,krotka trzyelementowa,,,,,,,,tupla de 3 elementos||tupla de três elementos,,,,3-tuplo||tuplo de 3 elementos,,,,тройка||кортеж из 3 элементов,,,,,,,,,,,,,,,,трьохелементний кортеж,,3-кортеж трикортежний,,,,,,,,,,三元组,,,,,,,
4-tuple||four-tuple,noun,A tuple of four elements,false,,,,,,,,,,,,,৪-টুপল,,,,৪-টুপল,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,krotka czteroelementowa,,,,,,,,tupla de 4 elementos||tupla de quatro elementos,,,,4-tuplo||tuplo de 4 elementos,,,,четвёрка||кортеж из 4 элементов,,,,,,,,,,,,,,,,кортеж з чотирьох елементів,,4-кортеж чотирикортежний,Кортеж із чотирьох елементів,,,,,,,,,四元组,,,,,,,
ABI,noun,(Application Binary Interface),false,,,API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABI,,,,,,ABI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABI,(Interface Binária de Aplicação),,,ABI,(Interface binária de aplicação),,,ABI,"(Двоичный интерфейс приложения)
Общеупотребительная аббревиатура — остаётся без перевода.",,,,,,,,,,,,,,,ABI,Двійковий програмний інтерфейс,АБІ,Бінарний інтерфейс програми),,,,,,,,,ABI,应用二进制接口,,,,,,
API||APIs,noun,(Application Programming Interface),true,,,API,,,,,,,,,,এপিআই,,,,এপিআই,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,,,,,,API,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,,,,,,,,API||APIs,(Interface para Aplicação de Programação),,,API||APIs,(Interface de Programação de Aplicações),,,API,"(Интерфейс прикладного программирования)
Общеупотребительная аббревиатура — остаётся без перевода.",,,,,,,,,,,,,,,API,,ІПП,Інтерфейс прикладного програмування,,,,,API,应用程序接口,,,API,应用程序接口,,,,,應用程式介面,
BDFL,noun,"""Benevolent Dictator for Life""",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDFL,,,,,,,,BDFL,"""Ditador benevolente Vitalício"".
Por padrão, gênero masculino.",,,BDFL,“Ditador benevolente vitalício”,,,BDFL||Великодушный Диктатор Навек,,,,,,,,,,,,,,,,BDFL,,BDFL,,,,,,,,,,终身仁慈独裁者（BDFL）,,,,,,,
CPU-bound,adjective,,false,,,,,,,,,,,,,সিপিইউ-নির্ভর,,,,সিপিইউ-নির্ভর,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zależne od mocy obliczeniowej procesora,,,,,,,,vinculada à CPU,,,,limitado pela CPU||intensiva em CPU||limitadas pela CPU||limitada pela CPU||limitados pela CPU,,,,ограниченный ЦП,,,,,,,,,,,,,,,,ЦП-обмежений,,CPU-bound,Обмежений ресурс процесора,,,,,,,,,CPU 密集型,,,,,,,
CPython,noun,,false,,,مترجم البايثون,,,,,,,,,,সি-পাইথন,,,,সি-পাইথন,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPython,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPython (standardowa implementacja)||CPython,,,,,,,,CPython,,,,CPython,,,,CPython,Название эталонной C’ишной реализации Python’а — остаётся без перевода.,,,,,,,,,,,,,,,CPython,,CPython,,,,,,CPython,使用C语言编写的官方Python实现,,,CPython,Python 基金会提供的“默认” Python 实现，为专有名词。,,,,,,
DST,noun,"Acronym for ""Daylight Saving Time""",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horário de verão||horário de verão,,,,horário de verão,,,,летнее время,,,,,,,,,,,,,,,,Літній час,,DST,Акронім від «Перехід на літній час»,,,,,,,,,夏令时,,,,,,,
EAFP,,"Acronym for ""Easier to Ask for Forgiveness than Permission""",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAFP,"EAFP é acrônimo para ""Easier to ask for forgiveness than permission"", que significa ""Mais fácil pedir perdão que permissão"".

Sigla de:",,,EAFP,Mais Fácil Pedir Perdão do que Permissão,,,EAFP,"(Легче просить прощения, чем разрешения)
Русскоязычная аббревиатура неизвестна — остаётся без перевода.",,,,,,,,,,,,,,,EAFP,,EAFP,,,,,,,,,,求宽恕比求惠允容易,,,,,,,
